model,memory,grade,units,carrier,locked,bids,unit_cost,lot_cost,asin,amz_grade,amz_price,gross_spread,net_per_unit,net_margin_pct,net_lot,locked_price,net_if_locked,net_lot_if_locked,note
iPhone 16e,256GB,Grade B,20,T-Mobile,LOCKED,7,263.85,5277.0,,Good,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 16,256GB,Grade B,20,T-Mobile,LOCKED,6,286.25,5725.0,,Good,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 15 Pro Max,512GB,Grade C,20,AT&T,LOCKED,1,340.0,6800.0,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 15 Pro Max,512GB,Grade B,20,T-Mobile,LOCKED,12,508.5,10170.0,,Good,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 15 Pro,128GB,Grade C,240,T-Mobile,LOCKED,0,250.0,60000.0,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 15 Pro,128GB,Grade C,118,T-Mobile,LOCKED,0,250.0,29500.0,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 15 Pro,128GB,Grade A,20,AT&T,LOCKED,2,300.0,6000.0,,Excellent,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 15 Pro,1TB,Grade C,20,T-Mobile,LOCKED,1,250.0,5000.0,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 15 Plus,128GB,Grade C,240,T-Mobile,LOCKED,0,215.0,51600.0,B0CMT4XDSC,Acceptable,,,,,,,,,Amazon has no Acceptable offer
iPhone 15 Plus,128GB,Grade C,71,T-Mobile,LOCKED,0,215.0,15265.0,B0CMT4XDSC,Acceptable,,,,,,,,,Amazon has no Acceptable offer
iPhone 15 Plus,128GB,Grade C,20,(blank),unspecified,2,231.25,4625.0,B0CMT4XDSC,Acceptable,,,,,,,,,Amazon has no Acceptable offer
iPhone 15 Plus,256GB,Grade B,20,AT&T,LOCKED,1,215.0,4300.0,,Good,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 15,256GB,Grade C,20,AT&T,LOCKED,1,210.0,4200.0,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 15,512GB,Grade C,20,AT&T,LOCKED,7,261.25,5225.0,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 14 Pro Max,512GB,Grade B,20,T-Mobile,LOCKED,40,410.0,8200.0,,Good,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 14 Pro Max,256GB,Grade C,20,AT&T,LOCKED,5,301.05,6021.0,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 14 Pro,128GB,Grade C,366,T-Mobile,LOCKED,1,205.0,75030.0,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 14 Pro,128GB,Grade C,96,T-Mobile,LOCKED,0,205.0,19680.0,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 14 Pro,256GB,Grade C,20,AT&T,LOCKED,0,205.0,4100.0,B0BN96CCM6,Acceptable,,,,,,,,,Amazon has no Acceptable offer
iPhone 14 Pro,512GB,Grade B,20,T-Mobile,LOCKED,5,326.25,6525.0,,Good,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 14 Plus,512GB,Grade C,20,T-Mobile,LOCKED,1,150.0,3000.0,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
Mixed,Mixed,Mixed,50,Mixed,MIXED,4,12.2,610.0,,,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone SE (2022),64GB,Mixed,40,Mixed,MIXED,0,40.0,1600.0,B0BDY71GRG,,,,,,,,,,mixed grade - no clean comp
Mixed,Mixed,Grade B,35,Mixed,MIXED,1,35.0,1225.0,,Good,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
Mixed,Mixed,Grade A,30,T-Mobile,LOCKED,7,89.0,2670.0,,Excellent,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone SE (2022),256GB,Grade C,20,T-Mobile,LOCKED,1,40.0,800.0,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 13 Pro Max,128GB,Grade C,377,T-Mobile,LOCKED,1,210.0,79170.0,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 13 Pro Max,128GB,Grade C,120,T-Mobile,LOCKED,3,250.83,30099.6,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 13 Pro Max,128GB,Grade C,20,(blank),unspecified,1,210.0,4200.0,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 13 Pro,128GB,Grade C,288,T-Mobile,LOCKED,0,175.0,50400.0,B09LP77GDL,Acceptable,,,,,,,,,Amazon has no Acceptable offer
iPhone 13 Pro,128GB,Grade C,166,T-Mobile,LOCKED,0,175.0,29050.0,B09LP77GDL,Acceptable,,,,,,,,,Amazon has no Acceptable offer
iPhone 13 Pro,512GB,Grade B,20,T-Mobile,LOCKED,11,300.0,6000.0,,Good,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 13 Mini,512GB,Grade B,20,T-Mobile,LOCKED,1,105.0,2100.0,,Good,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 13,512GB,Grade B,20,T-Mobile,LOCKED,4,156.25,3125.0,,Good,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 12 Pro Max,256GB,Grade B,20,T-Mobile,LOCKED,10,236.25,4725.0,,Good,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone SE (2020),Mixed,Grade C,40,Mixed,MIXED,0,20.0,800.0,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone SE (2020),Mixed,Grade A,30,T-Mobile,LOCKED,7,42.5,1275.0,,Excellent,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 11 Pro Max,256GB,Grade B,20,T-Mobile,LOCKED,2,126.25,2525.0,,Good,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 11 Pro Max,512GB,Grade C,20,T-Mobile,LOCKED,1,115.0,2300.0,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 11 Pro,64GB,Grade B,20,T-Mobile,LOCKED,3,111.25,2225.0,,Good,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 11 Pro,Mixed,Grade C,20,Mixed,MIXED,1,90.0,1800.0,,Acceptable,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 11,Mixed,Mixed,30,Mixed,MIXED,1,85.0,2550.0,,,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
iPhone 11,128GB,Grade B,20,T-Mobile,LOCKED,24,140.0,2800.0,,Good,,,,,,,,,no comp on Amazon p1 (model/capacity not listed)
