Auction ID,iPhone Model,Storage,Grade,Units,Carrier,Handset Only,Bulk Price (Current Bid),Site Avg $/Unit,Fee @ 2%,Total Excl. Shipping,Cost Per Unit,Bids,Closes In,Location,Auction Link
50397,iPhone 15 Plus,128GB,A,20,AT&T,No,4500.0,225.0,90.0,4590.0,229.5,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50397/
50349,iPhone 15 Plus,128GB,C,240,T-Mobile,No,51600.0,215.0,1032.0,52632.0,219.3,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50349/
50360,iPhone 15 Plus,128GB,C,71,T-Mobile,No,15265.0,215.0,305.3,15570.3,219.3,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50360/
50398,iPhone 15 Plus,128GB,C,20,Generic,No,4625.0,231.25,92.5,4717.5,235.88,2,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50398/
50418,iPhone 15,512GB,C,20,T-Mobile,No,5225.0,261.25,104.5,5329.5,266.48,7,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50418/
50403,iPhone 15,256GB,C,20,AT&T,No,4200.0,210.0,84.0,4284.0,214.2,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50403/
50396,iPhone 15,128GB,A,20,Generic,No,4500.0,225.0,90.0,4590.0,229.5,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50396/
50337,iPhone 15,128GB,B,284,T-Mobile,No,62480.0,220.0,1249.6,63729.6,224.4,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50337/
50331,iPhone 15,128GB,C,394,T-Mobile,No,82740.0,210.0,1654.8,84394.8,214.2,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50331/
50353,iPhone 15,128GB,C,120,T-Mobile,No,25200.0,210.0,504.0,25704.0,214.2,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50353/
50395,iPhone 14 Pro Max,512GB,B,20,T-Mobile,No,8200.0,410.0,164.0,8364.0,418.2,40,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50395/
50402,iPhone 14 Pro Max,256GB,C,20,AT&T,No,6021.0,301.05,120.42,6141.42,307.07,5,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50402/
50335,iPhone 14 Pro Max,128GB,C,342,T-Mobile,No,75240.0,220.0,1504.8,76744.8,224.4,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50335/
50355,iPhone 14 Pro Max,128GB,C,142,T-Mobile,No,31240.0,220.0,624.8,31864.8,224.4,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50355/
50401,iPhone 14 Pro,512GB,B,20,T-Mobile,No,6525.0,326.25,130.5,6655.5,332.77,5,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50401/
50394,iPhone 14 Pro,256GB,C,20,AT&T,No,4100.0,205.0,82.0,4182.0,209.1,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50394/
50332,iPhone 14 Pro,128GB,C,366,T-Mobile,No,75030.0,205.0,1500.6,76530.6,209.1,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50332/
50357,iPhone 14 Pro,128GB,C,96,T-Mobile,No,19680.0,205.0,393.6,20073.6,209.1,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50357/
50393,iPhone 14 Plus,512GB,C,20,T-Mobile,No,3000.0,150.0,60.0,3060.0,153.0,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50393/
50368,iPhone 14 Plus,128GB,A,22,T-Mobile,No,6025.0,273.86,120.5,6145.5,279.34,24,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50368/
50344,iPhone 14 Plus,128GB,C,240,T-Mobile,No,36000.0,150.0,720.0,36720.0,153.0,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50344/
50358,iPhone 14 Plus,128GB,C,95,T-Mobile,No,14250.0,150.0,285.0,14535.0,153.0,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50358/
50387,iPhone 14 Plus,128GB,C,20,AT&T,No,3000.0,150.0,60.0,3060.0,153.0,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50387/
50392,iPhone 14,128GB,A,20,AT&T,No,3200.0,160.0,64.0,3264.0,163.2,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50392/
50346,iPhone 14,128GB,B,213,T-Mobile,No,31950.0,150.0,639.0,32589.0,153.0,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50346/
50359,iPhone 14,128GB,B,72,T-Mobile,No,11100.0,154.17,222.0,11322.0,157.25,5,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50359/
50350,iPhone 14,128GB,C,236,T-Mobile,No,34220.0,145.0,684.4,34904.4,147.9,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50350/
50334,iPhone 13 Pro Max,128GB,C,377,T-Mobile,No,79170.0,210.0,1583.4,80753.4,214.2,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50334/
50356,iPhone 13 Pro Max,128GB,C,120,T-Mobile,No,30100.0,250.83,602.0,30702.0,255.85,3,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50356/
50386,iPhone 13 Pro Max,128GB,C,20,Generic,No,4200.0,210.0,84.0,4284.0,214.2,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50386/
50391,iPhone 13 Pro,512GB,B,20,T-Mobile,No,6000.0,300.0,120.0,6120.0,306.0,11,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50391/
50341,iPhone 13 Pro,128GB,C,288,T-Mobile,No,50400.0,175.0,1008.0,51408.0,178.5,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50341/
50352,iPhone 13 Pro,128GB,C,166,T-Mobile,No,29050.0,175.0,581.0,29631.0,178.5,0,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50352/
50385,iPhone 13,512GB,B,20,T-Mobile,No,3125.0,156.25,62.5,3187.5,159.38,4,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50385/
50383,iPhone 13,128GB,A,20,AT&T,No,3625.0,181.25,72.5,3697.5,184.88,2,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50383/
50390,iPhone 13,128GB,A,20,Generic,No,3675.0,183.75,73.5,3748.5,187.43,6,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50390/
50338,iPhone 13,128GB,B,279,T-Mobile,No,41850.0,150.0,837.0,42687.0,153.0,1,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50338/
50330,iPhone 13,128GB,C,457,T-Mobile,No,63980.0,140.0,1279.6,65259.6,142.8,0,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50330/
50388,iPhone 13 Mini,512GB,B,20,T-Mobile,No,2100.0,105.0,42.0,2142.0,107.1,1,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50388/
50384,iPhone 13 Mini,128GB,A,20,T-Mobile,No,2500.0,125.0,50.0,2550.0,127.5,1,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50384/
50342,iPhone 13 Mini,128GB,C,265,T-Mobile,No,26500.0,100.0,530.0,27030.0,102.0,0,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50342/
50382,iPhone 12 Pro Max,256GB,B,20,T-Mobile,No,4725.0,236.25,94.5,4819.5,240.97,10,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50382/
50336,iPhone 12 Pro Max,128GB,C,308,T-Mobile,No,56250.0,182.63,1125.0,57375.0,186.28,24,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50336/
50389,iPhone 12,64GB,A,20,T-Mobile,No,3025.0,151.25,60.5,3085.5,154.28,18,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50389/
50333,iPhone 12,64GB,C,418,T-Mobile,No,35530.0,85.0,710.6,36240.6,86.7,1,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50333/
50378,iPhone 12 Mini,128GB,B,20,T-Mobile,No,1300.0,65.0,26.0,1326.0,66.3,1,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50378/
50381,iPhone 11 Pro Max,512GB,C,20,T-Mobile,No,2300.0,115.0,46.0,2346.0,117.3,1,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50381/
50377,iPhone 11 Pro Max,256GB,B,20,T-Mobile,No,2525.0,126.25,50.5,2575.5,128.78,2,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50377/
50376,iPhone 11 Pro,64GB,B,20,T-Mobile,No,2225.0,111.25,44.5,2269.5,113.47,3,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50376/
50380,iPhone 11 Pro,Mixed / Not specified,C,20,Mixed Carrier,No,1800.0,90.0,36.0,1836.0,91.8,0,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50380/
50372,iPhone 11,128GB,B,20,T-Mobile,No,2800.0,140.0,56.0,2856.0,142.8,24,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50372/
50371,iPhone 11,64GB,B,20,Generic,No,1600.0,80.0,32.0,1632.0,81.6,0,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50371/
50340,iPhone 11,64GB,C,250,T-Mobile,No,18750.0,75.0,375.0,19125.0,76.5,0,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50340/
50351,iPhone 11,64GB,C,170,T-Mobile,No,12750.0,75.0,255.0,13005.0,76.5,1,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50351/
50365,iPhone 11,Mixed / Not specified,A/B,30,Mixed Carrier,No,2550.0,85.0,51.0,2601.0,86.7,1,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50365/
50425,iPhone SE (2022),256GB,C,20,T-Mobile,No,800.0,40.0,16.0,816.0,40.8,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50425/
50362,iPhone SE (2022),64GB,B/C,40,Mixed Carrier,No,1600.0,40.0,32.0,1632.0,40.8,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50362/
50339,iPhone SE (2022),64GB,C,272,T-Mobile,No,12050.0,44.3,241.0,12291.0,45.19,3,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50339/
50366,iPhone SE (2020),Mixed / Not specified,A,30,T-Mobile,No,1275.0,42.5,25.5,1300.5,43.35,7,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50366/
50363,iPhone SE (2020),Mixed / Not specified,C,40,Mixed Carrier,No,800.0,20.0,16.0,816.0,20.4,0,1d 10h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50363/
50367,iPhone SE (2022) & iPhone XR,Mixed / Not specified,A,30,T-Mobile,No,2670.0,89.0,53.4,2723.4,90.78,7,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50367/
50364,iPhone SE (2020) & iPhone SE (2022),Mixed / Not specified,B,35,Mixed Carrier,No,1225.0,35.0,24.5,1249.5,35.7,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50364/
50361,"iPhone XR, iPhone SE (2020), iPhone SE (2022) & More",Mixed / Not specified,B/C,50,Mixed Carrier,No,610.0,12.2,12.2,622.2,12.44,4,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50361/
TOTAL,,,,8732,,,1686225.0,,33724.5,1719949.5,196.97,,,,
